"""cueanexo""|""grado""|""turno""|""subtotal_por_turno"""
"""220014300""|""Sala de 4 años""|""Mañana""|""65"""
"""220014300""|""Sala de 4 años""|""Tarde""|""39"""
"""220014300""|""Sala de 4 años""|NULL|""104"""
"""220014300""|""Sala de 5 años""|""Mañana""|""47"""
"""220014300""|""Sala de 5 años""|""Tarde""|""34"""
"""220014300""|""Sala de 5 años""|NULL|""81"""
"""220014700""|""Sala de 3 años""|""Tarde""|""16"""
"""220014700""|""Sala de 3 años""|NULL|""16"""
"""220014700""|""Sala de 4 años""|""Mañana""|""43"""
"""220014700""|""Sala de 4 años""|""Tarde""|""19"""
"""220014700""|""Sala de 4 años""|NULL|""62"""
"""220014700""|""Sala de 5 años""|""Mañana""|""34"""
"""220014700""|""Sala de 5 años""|""Tarde""|""31"""
"""220014700""|""Sala de 5 años""|NULL|""65"""
"""220014800""|""Sala de 4 años""|""Mañana""|""43"""
"""220014800""|""Sala de 4 años""|""Tarde""|""57"""
"""220014800""|""Sala de 4 años""|NULL|""100"""
"""220014800""|""Sala de 5 años""|""Mañana""|""62"""
"""220014800""|""Sala de 5 años""|""Tarde""|""44"""
"""220014800""|""Sala de 5 años""|NULL|""106"""
"""220014900""|""Sala de 3 años""|""Tarde""|""13"""
"""220014900""|""Sala de 3 años""|NULL|""13"""
"""220014900""|""Sala de 4 años""|""Mañana""|""38"""
"""220014900""|""Sala de 4 años""|""Tarde""|""37"""
"""220014900""|""Sala de 4 años""|NULL|""75"""
"""220014900""|""Sala de 5 años""|""Mañana""|""59"""
"""220014900""|""Sala de 5 años""|""Tarde""|""40"""
"""220014900""|""Sala de 5 años""|NULL|""99"""
"""220014901""|""Sala de 3 años""|""Mañana""|""15"""
"""220014901""|""Sala de 3 años""|NULL|""15"""
"""220015900""|""Sala de 4 años""|""Mañana""|""7"""
"""220015900""|""Sala de 4 años""|NULL|""7"""
"""220015900""|""Sala de 5 años""|""Mañana""|""7"""
"""220015900""|""Sala de 5 años""|NULL|""7"""
"""220016000""|""Sala de 4 años""|""Mañana""|""3"""
"""220016000""|""Sala de 4 años""|NULL|""3"""
"""220016000""|""Sala de 5 años""|""Mañana""|""5"""
"""220016000""|""Sala de 5 años""|NULL|""5"""
"""220016300""|""Sala de 3 años""|""Mañana""|""4"""
"""220016300""|""Sala de 3 años""|NULL|""4"""
"""220016300""|""Sala de 4 años""|""Mañana""|""5"""
"""220016300""|""Sala de 4 años""|NULL|""5"""
"""220016300""|""Sala de 5 años""|""Mañana""|""1"""
"""220016300""|""Sala de 5 años""|NULL|""1"""
"""220016400""|""Sala de 3 años""|""Mañana""|""8"""
"""220016400""|""Sala de 3 años""|NULL|""8"""
"""220016400""|""Sala de 4 años""|""Mañana""|""4"""
"""220016400""|""Sala de 4 años""|NULL|""4"""
"""220016400""|""Sala de 5 años""|""Mañana""|""4"""
"""220016400""|""Sala de 5 años""|NULL|""4"""
"""220016500""|""Sala de 3 años""|""Mañana""|""2"""
"""220016500""|""Sala de 3 años""|NULL|""2"""
"""220016500""|""Sala de 4 años""|""Mañana""|""3"""
