"codigo"|"calles"|"long"|"lat"|"empresa"|"orden"|"distan_paradas"|"lineas"|"Unnamed: 8"
"C02273"|"JUAN B. JUSTO Y JUAN DE DIOS MENA"|"-58.979480000000002"|"-27.45904"|"Línea 8 D  Asentamiento 29 de Agosto - Barrio UOM IDA"|"27"|"239.0"|"Línea 8 D "|""
"C00588"|"AV. AVALOS Y AV. LAVALLE"|"-58.986530000000002"|"-27.43821"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"35"|"345.0"|"Línea 9 B "|""
"C01592"|"Soldado Aguilera 500"|"-58.989400000000003"|"-27.48308"|"Línea 9 A Hipermercado Libertad - Barrio 17 de Octubre IDA"|"58"|"249.0"|"Línea 9 A "|""
"C01593"|"SOLDADO AGUILERA Y GOITIA"|"-58.989040000000003"|"-27.48566"|"Línea 9 A Hipermercado Libertad - Barrio 17 de Octubre IDA"|"59"|"292.0"|"Línea 9 A "|""
"C02508"|"Guido Spano y Paraguay"|"-58.941060000000000"|"-27.48403"|""|""|""|"#¡VALOR!"|""
"C00589"|"AV AVALOS Y AV RIVADAVIA"|"-58.989220000000003"|"-27.4407"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"36"|"384.0"|"Línea 9 B "|""
"C01594"|"Av Soberania Nacional y Goitia"|"-58.989800000000002"|"-27.48638"|"Línea 5 C Villa Luisa - Barrio UOM VUELTA"|"44"|"119.0"|"Línea 5 C "|""
"C00590"|"AV AVALOS Y CORRIENTES"|"-58.991109999999999"|"-27.44233"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"37"|"260.0"|"Línea 9 B "|""
"C02509"|"Guido Spano y Pirovano"|"-58.942529999999998"|"-27.48532"|"Línea 106 C Barrio Juan Domingo Perón - Barrio 200 Viviendas (Barranqueras) IDA"|"38"|"384.0"|"Línea 106 C "|""
"C00591"|"AV AVALOS Y M. T DE ALVEAR"|"-58.992829999999998"|"-27.44387"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"38"|"242.0"|"Línea 9 B "|""
"C01595"|"Av Soberanía Nacional 2200"|"-58.988340000000001"|"-27.48799"|"Línea 5 C Villa Luisa - Barrio UOM VUELTA"|"45"|"235.0"|"Línea 5 C "|""
"C02510"|"Guido Spano e Irigoyen"|"-58.944229999999997"|"-27.48682"|"Línea 106 C Barrio Juan Domingo Perón - Barrio 200 Viviendas (Barranqueras) IDA"|"39"|"237.0"|"Línea 106 C "|""
